prediction,ground_truth,filename
went on to descrive the lanching of the Thetan colony,went on to describe the landing of the Thetan colony,m01-090-01
"in Jussex , in all its oboscene details . Then the radio","in Sussex , in all its obscene details . Then the radio",m01-090-02
"went clead again , and ttere had no stomack for","went dead again , and Steve had no stomach for",m01-090-03
"treatefust . It was a beantiful day , as firsts-of ' Jure","breakfast . It was a beautiful day , as firsts-of-June",m01-090-04
should be . Here got out the cur and traversed the,should be . Steve got out the car and traversed the,m01-090-05
"same emipy streets as he had the night before ,","same empty streets as he had the night before ,",m01-090-06
to heep ap appointment with Heuther .,to keep an appointment with Heather .,m01-090-07
Coming around the great mass of the Chatean,Coming around the great mass of the Chateau,m01-095-00
"tamier , he baket to a screeching stop . A","Laurier , he braked to a screeching stop . A",m01-095-01
flying sancer was tilting and dipping over,flying saucer was tilting and dipping over,m01-095-02
the was Memorial . There was a deep,the War Memorial . There was a deep,m01-095-03
"whining sound , and a high-pitched hising","whirring sound , and a high-pitched hissing",m01-095-04
overtoue that sang in his ears with an,overtone that sang in his ears with an,m01-095-05
almost pain ful sharpness . He reversed and,almost painful sharpness . He reversed and,m01-095-06
"turned backe on Mr Kengie Avenue ,",turned back on McKenzie Avenue .,m01-095-07
""" The Thetans , "" he said , "" are presumably here to",""" The Thetans , "" he said , "" are presumably here to",m01-104-00
"take charge , as it were , of the minds of the","take charge , as it were , of the minds of the",m01-104-01
eople-who are probably falling all over them-,people - who are probably falling all over them-,m01-104-02
selves in then geal to get their onders and to carry,selves in their zeal to get their orders and to carry,m01-104-03
"them out . Just what these onders will be , we don t","them out . Just what these orders will be , we don't",m01-104-04
"know . Now , becanse of prion hypnosts we have es-","know . Now , because of prior hypnosis we have es-",m01-104-05
caped thetan subjugation . This time . But we no,caped Thetan subjugation . This time . But we no,m01-104-06
longer have any immunity .,longer have any immunity .,m01-104-07
Then can be little doubt that if the,There can be little doubt that if the,m01-110-00
Thetainr discover our menta l independence,Thetans discover our mental independence,m01-110-01
they willprobubly give us their hypnotic,they will promptly give us their hypnotic,m01-110-02
treatmsent . I we cas aroid u due,treatment . If we can avoid undue,m01-110-03
"prominence , it may be that we can","prominence , it may be that we can",m01-110-04
move about prutty bleebe without,move about pretty freely without,m01-110-05
"detections . It be can - well , thens we","detection . If we can - well , then we",m01-110-06
mory he able to prounote our,may be able to promote our own,m01-110-07
infereets . What those interce ts,interests . What those interests,m01-110-08
"are , beyoud personal secnrits ,","are , beyond personal security ,",m01-110-09
"I haun't "" clue ; but , who knnows ,","I haven't a clue ; but , who knows ,",m01-110-10
we may form the nuclens around . . .,we may form the nucleus around . . .,m01-110-11
""" Now to summarize what I think ovr",""" Now , to summarize what I think our",m01-115-00
course of action should be . First to avoid the,"course of action should be . First , to avoid the",m01-115-01
"Thetans like the plague , for they must not","Thetans like the plague , for they must not",m01-115-02
"find us out' second , to tread pretty warily","find us out ! Second , to tread pretty warily",m01-115-03
"among our own people , finding out juot how","among our own people , finding out just how",m01-115-04
huch freedon we can take with sefety .,much freedom we can take with safety .,m01-115-05
"And third , to study these danned Thetans .","And third , to study these damned Thetans .",m01-115-06
We must learn all we can about,We must learn all we can about,m01-115-07
There is just a lope that we may uncover,There is just a hope that we may uncover,m01-121-00
"some weakness , and find a way of fighing","some weakness , and find a way of fighting",m01-121-01
"back at them . "" Heather agreed , and suggested","back at them . "" Heather agreed , and suggested",m01-121-02
that they use Dan as a specimen demonsha-,that they use Dan as a specimen demonstra-,m01-121-03
ting how the thetan machinations had been,ting how the Thetan machinations had been,m01-121-04
working out . It sccured to Steve that this may,working out . It occurred to Steve that this may,m01-121-05
not have been enthely an abjlective suggestion,not have been entirely an objective suggestion,m01-121-06
on her part ; but he thought it a good ider,on her part ; but he thought it a good idea,m01-121-07
So they proceeded to see if the coast,So they proceeded to see if the coast,m01-125-00
was clear . The street was quiet and,was clear . The street was quiet and,m01-125-01
desterted and there were weither sight,"deserted , and there were neither sight",m01-125-02
nor sond of flying sancerse so they,nor sound of flying saucers . So they,m01-125-03
ventured forth and mnade their way on,ventured forth and made their way on,m01-125-04
foot to Dan's house . Dan came,foot to Dan's house . Dan came,m01-125-05
to the door at their ring but neglected,to the door at their ring but neglected,m01-125-06
to offer any greeting . He was deeply,to offer any greeting . He was deeply,m01-125-07
"preoccupied , and it seaned that the","preoccupied , and it seemed that the",m01-125-08
ringing of a doorbell was to him,ringing of a doorbell was to him,m01-125-09
a new and strange phenomuenon -,a new and strange phenomenon .,m01-125-10
"When he finally beckoned to them to enter , the action","When he finally beckoned to them to enter , the action",m01-131-00
gave the impression of having been thought out and,gave the impression of having been thought out and,m01-131-01
"decided upon . Inside they sat down usbiddes , while","decided upon . Inside they sat down unbidden , while",m01-131-02
Dan paced the flour . He seemed completely unaware,Dan paced the floor . He seemed completely unaware,m01-131-03
"of their precence . They just stared at him , turning","of their presence . They just stared at him , turning",m01-131-04
their heads like ternis spectators as he walked up and,their heads like tennis spectators as he walked up and,m01-131-05
His whole attitude was a mixture of,His whole attitude was a mixture of,m01-136-00
impatience pending an awaited,impatience pending an awaited,m01-136-01
communication and of a vague,communication and of a vague,m01-136-02
perplexity respecting his surrourdings,perplexity respecting his surroundings,m01-136-03
and the purpose he was to serve .,and the purpose he was to serve .,m01-136-04
"Finally , being so obriously on their oun ,","Finally , being so obviously on their own ,",m01-136-05
Heather and sleve tried to make themselves,Heather and Steve tried to make themselves,m01-136-06
at home . Steve switched on Jan's,at home . Steve switched on Dan's,m01-136-07
"power ful , world-wide rodio and sys tematically","powerful , world-wide radio and systematically",m01-136-08
turned the tning hnob through all the,turned the tuning knob through all the,m01-136-09
tuning points of the world's great raclio,tuning points of the world's great radio,m01-136-10
"They followed him to a city bus stop on Carling Aveme , where","They followed him to a city bus stop on Carling Avenue , where",m01-149-00
"he waited . The lwr , stop was a deserted island on a eupty street .",he waited . The bus stop was a deserted island on an empty street .,m01-149-01
"But nd for long , for scompedectrians and cars flocked upon","But not for long , for soon pedestrians and cars flocked upon",m01-149-02
the Avenue from its many tribumary streets . It might have,the Avenue from its many tributary streets . It might have,m01-149-03
"been a normal business-day bustle , except for two anomalies .","been a normal business-day bustle , except for two anomalies .",m01-149-04
"First , it was Sunday morning , and , second , everyone","First , it was Sunday morning ; and , second , everyone",m01-149-05
"wathed , or drove , or waited as a person possessed of","walked , or drove , or waited as a person possessed of",m01-149-06
a single all-exclusive pupose .,a single all-exclusive purpose .,m01-149-07
After a long wait a bus appeared and they,After a long wait a bus appeared and they,m01-160-00
"followed the beaming Nen abourd , taking","followed the beaming Dan aboard , taking",m01-160-01
sents rome rons behind him . Seee was,seats some rows behind him . Steve was,m01-160-02
"beyinning to find the sterectyped , fluttish , huppy","beginning to find the stereotyped , flattish , happy",m01-160-03
feces very dixcomerting ; and looking at,faces very disconcerting ; and looking at,m01-160-04
Heather he found a welcome reliet in her,Heather he found a welcome relief in her,m01-160-05
relatively long doleful one,relatively long doleful one,m01-160-06
Then he would go back to Pato for a final spell of,Then he would go back to Plato for a final spell of,m02-048-00
real days and would return to New Yook in late,real days and would return to New York in late,m02-048-01
Jannary or early Febmary . Angelina might be a,January or early February . Angelina might be a,m02-048-02
little sowy if we were not back for Christ mas,little sorry if we were not back for Christmas,m02-048-03
"as arranged , but he cousoled himset by","as arranged , but he consoled himself by",m02-048-04
thinking thatt he and Angelina would have,thinking that he and Angelina would have,m02-048-05
Manty of time together in the future . And,plenty of time together in the future . And,m02-048-06
"Heaven alone knew welm , if ever , he would be","Heaven alone knew when , if ever , he would be",m02-048-07
"back on Moon again , and able to do","back on Moon again , and able to do",m02-048-08
research at fist hand into matters on which,research at first hand into matters on which,m02-048-09
"the futune of everyone , including Angdinca , depende .","the future of everyone , including Angelina , depended . . .",m02-048-10
The necovery of his balance was due to the,The recovery of his balance was due to the,m02-052-00
"fact that he was leing , vedually without","fact that he was living , virtually without",m02-052-01
"escrenses , with the people to whom nohe had","expenses , with the people to whom Moke had",m02-052-02
sent him : little people who negareded him as,sent him : little people who regarded him as,m02-052-03
lucky to have descended from such economic altludes .,lucky to have descended from such economic altitudes .,m02-052-04
Tom Dreyfus had a job on the machines in the Secreliarial,Tom Dreyfus had a job on the machines in the Secretariat,m02-052-05
( stamp Departmen t ) while sally sulked al  home,( Stamp Department ) while Sally sulked at home .,m02-052-06
"They had been married for six years , but the","They had been married for six years , but the",m02-055-00
"salary raise , on the expectation of which they","salary raise , on the expectation of which they",m02-055-01
"had done so , had not materialised . "" DO you","had done so , had not materialised . "" Do you",m02-055-02
"know , I had to gend back oor bedroom","know , I had to send back our bedroom",m02-055-03
"forniture in the gecond year , "" she moaned . She","furniture in the second year , "" she moaned . She",m02-055-04
"had contacts in political circles , a school-","had contacts in political circles , a school-",m02-055-05
"friend of hers having married lester Peron ,","friend of hers having married Lester Peron ,",m02-055-06
a Hocrat genator with a seat on the,a Mocrat Senator with a seat on the,m02-055-07
( literallyl all-powerful Rocket Relcase,( literally ) all-powerful Rocket Release,m02-055-08
"Sometimes she took Llarry around withher , but","Sometimes she took Harry around with her , but",m02-059-00
"never her husband , a fact he accepted as inevitable . "" I guess","never her husband , a fact he accepted as inevitable . "" I guess",m02-059-01
"sally made a mistake aboutme , ' he said one","Sally made a mistake about me , "" he said one",m02-059-02
"evening , when he had been left to cook his oun meal .","evening , when he had been left to cook his own meal .",m02-059-03
"All sully's reltions were Imakrodets now , but Tom","All Sally's relations were 4makrodeb now , but Tom",m02-059-04
"was a static Mib , the middle-income-brocket equivalent","was a Static Mib , the middle-income-bracket equivalent",m02-059-05
"all Aristotle eas excited at the kine , not by the prospect of the","All Aristotle was excited at the time , not by the prospect of the",m02-066-00
"U.5. President's vised , but by a great strom in the plobo-","U.S. President's visit , but by a great storm in the photo-",m02-066-01
phere of the sur . I matter whach on Earth could hardly,sphere of the sun . A matter which on Earth would hardly,m02-066-02
penetiant beyond the maits of astrenaners was of general,penetrate beyond the minds of astronomers was of general,m02-066-03
"intrest inberest to be tos , doublless because their habita is","interest to the Mos , doubtless because their habitat is",m02-066-04
not submerget beneath a deep satural atmosptere .,not submerged beneath a deep natural atmosphere .,m02-066-05
the wondered it this greater awarenew of the phryrical comar might,One wondered if this greater awareness of the physical cosmos might,m02-069-00
"With time inshill the reverence which , on Earth , nature inspires ,","with time instil the reverence which , on Earth , nature inspires ,",m02-069-01
especnilly when one reflected that the reckets over which Mr. Peron's,especially when one reflected that the rockets over which Mr. Peron's,m02-069-02
board presided had it in thir power permanently to wary the,Board presided had it in their power permanently to warp the,m02-069-03
"dolar system . Prue enough , such ultimate weapons had not been","solar system . True enough , such ultimate weapons had not been",m02-069-04
used in the last tla few wars . but it veemed muy probale,"used in the last few wars , but it seemed very probable",m02-069-05
"that they would be in he Vaat next one , Noon and her","that they would be in the next one , Moon and her",m02-069-06
allies being more inferion than formoty to W. C . 4 . in the,allies being more inferior than formerly to W.C.U. in the,m02-069-07
Weapons pronounced conventional,weapons pronounced conventional .,m02-069-08
Lesterwas not home yet from his formidable,Lester was not home yet from his formidable,m02-072-00
"duties and his wife , in the monner of niddle-brow","duties and his wife , in the manner of middle-brow",m02-072-01
"Wives , romanced about himein his absence . "" Lester was a","wives , romanced about him in his absence . "" Lester was a",m02-072-02
"country lawyer , and we were very smoll f micradets weren tt we ,","country lawyer , and we were very small 4microdebs , weren't we ,",m02-072-03
"Sally "" here she had dropped her wice in homoge to the","Sally "" - here she had dropped her voice in homage to the",m02-072-04
"economic system : that was reverened - "" when he though","economic system : that was reverenced - "" when he thought",m02-072-05
we might get G0 a bit better if he entered polities .,we might get GO a bit better if he entered politics .,m02-072-06
know haw he did it ? He's cleces on,Know how he did it ? He 's clever on,m02-075-00
the mouth-organ . So when ha visited some,the mouth-organ . So when he visited some,m02-075-01
craterlet on Facelours is an agricultural,craterlet on Face ( ours is an agricultural,m02-075-02
"Back-Face areal the cry would go up ,","Back-Face area ) the cry would go up ,",m02-075-03
as soon as he had spoken a few,as soon as he had spoken a few,m02-075-04
sentence's of his speech . ' Cut the,sentences of his speech : ' Cut the,m02-075-05
"politics , lester , give us something on","politics , Lester , give us something on",m02-075-06
"That 's how he got the votes , that 's how","That 's how he got the votes , that 's how",m02-080-01
We came through to Umakrodeb status and,we came through to 4makrodeb status and,m02-080-02
got all these tovely things ' - she waved a,"got all these lovely things "" - she waved a",m02-080-03
"plump hand towards her grand pianos , etc :","plump hand towards her grand pianos , etc :",m02-080-04
"at the same time a door banged- "" but don't","at the same time a door banged - "" but don't",m02-080-05
"say a word about it , lester wants his","say a word about it , Lester wants his",m02-080-06
mouth-organ to be forgotten now . The time,mouth-organ to be forgotten now . The time,m02-080-07
has come for him to be taken seriously,has come for him to be taken seriously,m02-080-08
"Feron entered , a lorge man who had once been","Peron entered , a large man , who had once been",m02-083-00
"handsome but was now seedy-looking , a sufferer","handsome but was now seedy-looking , a sufferer",m02-083-01
from stomach-ulcers . In the Back-face tradition he,from stomach-ulcers . In the Back-Face tradition he,m02-083-02
"hore , and kept on indoors , a fifty gallon hat . Harry was","wore , and kept on indoors , a fifty gallon hat . Harry was",m02-083-03
"prepared for something unpleasant , for this was","prepared for something unpleasant , for this was",m02-083-04
the senator who had annoyed the United states,the Senator who had annoyed the United States,m02-083-05
by bragging how he had once mon a trich from,by bragging how he had once won a trick from,m02-083-06
W.C. U. by threatening to loose off ane of his,W.C.U. by threatening to loose off one of his,m02-083-07
rockets lan admission which would scarcely heip,rockets ( an admission which would scarcely help,m02-083-08
"bluff to succeed the next time ) and , lakely , by","bluff to succeed the next time ) and , lately , by",m02-083-09
saying that it Moland-troops had to come to the gaid,saying that if Mo land-troops had to come to the aid,m02-083-10
of the C.f.e-cectissest in the besevx vesies,"of the O.G.O. contingent in the Panama region ,",m02-083-11
But privately he turned out to be as friendly as,But privately he turned out to be as friendly as,m02-087-00
"Mr. Wise the tube manufacturer , to have the same ablolescent","Mr. Wise the tube manufacturer , to have the same adolescent",m02-087-01
"openness and frahness , though perhaps not the same","openness and freshness , though perhaps not the same",m02-087-02
raturity . One remembered that he was a lawyer,maturity . One remembered that he was a lawyer,m02-087-03
"by training , and suspected hat the points he made","by training , and suspected that the points he made",m02-087-04
so sharply in international politics were as abstract,so sharply in international politics were as abstract,m02-087-05
to him as thare a lawyer maker in a court,to him as those a lawyer makes in a court,m02-087-06
"The motive would be the same in both cases , to","The motive would be the same in both cases , to",m02-090-00
"seve this home of his , in which his heat lay .","serve this home of his , in which his heart lay .",m02-090-01
ttere the rocket man's charm was disarming . Yet,Here the rocket man's charm was disarming . Yet,m02-090-02
"when the time came to leave , Harry felt as de-","when the time came to leave , Harry felt as de-",m02-090-03
"pressed as when he left Mrs. Italliday's office ,","pressed as when he left Mrs. Halliday's office ,",m02-090-04
exactly a month ago . I f even no statesmen only,exactly a month ago . If even Mo statesmen only,m02-090-05
did what they had to do to get 60 on an expan-,did what they had to do to get GO on an expan-,m02-090-06
"ding scale , and left the sum-tofal of their actions ,","ding scale , and left the sum-total of their actions ,",m02-090-07
"and their lunar and earthly repercussions , to lnck","and their lunar and earthly repercussions , to luck",m02-090-08
"(or to Moke ) , there was a vecuum where there should","( or to Moke ) , there was a vacuum where there should",m02-090-09
"be a centre of trust , responsible for the maintenance","be a centre of trust , responsible for the maintenance",m02-090-10
She political life of Aristotle looked more and more,The political life of Aristotle looked more and more,m02-095-00
lile a masguerade of business interest in dis-,like a masquerade of business interests in dis-,m02-095-01
"quise which , far from attracting the ollegiance","guise which , far from attracting the allegiance",m02-095-02
"of free men everywhere , could only repel thern -","of free men everywhere , could only repel them .",m02-095-03
Then what of the oulturol life ? Did this per-,Then what of the cultural life ? Did this per-,m02-095-04
haps nurture a genuinely civilizing impule,haps nurture a genuinely civilizing impulse,m02-095-05
which might in time lecome social fact,which might in time become social fact,m02-095-06
and counteract the obsesion with economics,and counteract the obsession with economics,m02-095-07
which had grown up durng the Moun's,which had grown up during the Moon's,m02-095-08
At the centre of each cirle stood personnet,At the centre of each circle stood personnel,m02-102-00
"mangers of corporations , together with profoors","managers of corporations , together with professors",m02-102-01
and their filing clestes . The studets had,and their filing clerks . The students had,m02-102-02
"bought theis college education , forward and",bought their college education forward and,m02-102-03
were now being bought forward in the's,were now being bought forward in their,m02-102-04
thrn . By comparing personal appearances,turn . By comparing personal appearances,m02-102-05
"with unicersity records , the agents of the","with university records , the agents of the",m02-102-06
businesses would pick an youry men,businesses would pick on young men,m02-102-07
"and women who in vrested them , ald contraet","and women who interested them , and contracts",m02-102-08
would be initialled at the end of,would be initialled at the end of,m02-102-09
But since starting salarias would depend on goade f,But since starting salaries would depend on grade A,m02-106-00
"or D in the finals next Nay , and since mating","or B in the finals next May , and since mating",m02-106-01
"prospects would depend upon salarles , scholarshin fo","prospects would depend upon salaries , scholarship for",m02-106-02
these hine young people was alosely geared to,these fine young people was closely geared to,m02-106-03
"economic and biological ends a which , essentially ,","economic and biological ends which , essentially ,",m02-106-04
"were veally means . So , saedng them vevolves in","were really means . So , seeing them revolve in",m02-106-05
"cirdes , Harry had the feefing that Moke Cor whatrer","circles , Harry had the feeling that Moke ( or what",m02-106-06
"Hoke Conscionsly oxunconscintly symbalised , any-","Moke consciously or unconsciously symbolised , any-",m02-106-07
way in Haury's mind I had these splendid young,way in Harry's mind ) had these splendid young,m02-106-08
"people by the sblort hairs , and was diverting them . . .","people by the short hairs , and was diverting them . . .",m02-106-09
"Stepping out in their white shorts , they loolod enough","Stepping out in their white shorts , they looked glad enough",m02-109-00
"to be ol verteal , howeres , with the gingle exception of one","to be diverted , however , with the single exception of one",m02-109-01
worrieal little manestudent who topt getting out of,worried little man-student who kept getting out of,m02-109-02
stup . He loobol as of nothing Nake and his,step . He looked as if nothing Moke and his,m02-109-03
minious could do to him woald ever male him,minions could do to him would ever make him,m02-109-04
"C0 , but the reason probably lay in elomon tary",GO ; but the reason probably lay in elementary,m02-109-05
nearosis and not in some eruption from tose,neurosis and not in some eruption from those,m02-109-06
oleper layers in the humon psyele which an,deeper layers in the human psyche which are,m02-109-07
"So once again the metaphysics were depressing ,","So once again the metaphysics were depressing ,",m02-112-00
and in absolute controst to the physical display .,and in absolute contrast to the physical display .,m02-112-01
"Nos have an un-American love of paracdes , and","Mos have an un-American love of parades , and",m02-112-02
"these young ones , on parade for jobr which they","these young ones , on parade for jobs which they",m02-112-03
"had to get off their college bills , were naturally","had to get to pay off their college bills , were naturally",m02-112-04
putting their best foot forward .,putting their best foot forward .,m02-112-05
""" Something's up , "" said Lord Undertone ,","' Something 's up , ' said Lord Undertone ,",m03-006-00
"carefully casual . "" The servants are all on",carefully casual . ' The servants are all on,m03-006-01
edge . . . did you notice ? And the mules,edge . . . did you notice ? And the mules,m03-006-02
"dider 't seem to want to get off the raft . """,didn't seem to want to get off the raft . ',m03-006-03
He peened as it were into the dark secrets,He peered as it were into the dark secrets,m03-006-04
"of the jungle . "" Think there's Indians",of the jungle . ' Think there 's Indians,m03-006-05
"about ? "" It was most certainly an eerie",about ? ' It was most certainly an eerie,m03-006-06
"night , exceptionally brilliant and strange ,","night , exceptionally brilliant and strange ,",m03-006-07
"for in the proximity of the monntzins ,","for in the proximity of the mountains ,",m03-006-08
"whose presence I could almost smell ,","whose presence I could almost smell ,",m03-006-09
"Impressive , "" Lord Ondertone said , gazing reverently","' Impressive , ' Lord Undertone said , gazing reverently",m03-013-00
on the cosmic handiwork . ' All those stars . But I 'n,on the cosmic handiwork . ' All those stars . But I 'm,m03-013-01
"a bit eardhbourd toright , Troot . I 've gof a quver","a bit earthbound tonight , Trout . I 've got a queer",m03-013-02
"feeling , lile I always get when something","feeling , like I always get when something",m03-013-03
sessaional's going to bappen . There's things lurking,sensational 's going to happen . There 's things lurking,m03-013-04
"if you ask ne . Might be jagoar , might be . . .","if you ask me . Might be jaguar , might be . . .",m03-013-05
"Hope I die kind of composed , Tront . I mean you can't","Hope I die kind of composed , Trout . I mean you can't",m03-020-00
imagine the Christian martyrs twisting and shrieking ,"imagine the Christian martyrs twisting and shrieking ,",m03-020-01
"no matter hou bad it felt , the fire you know , or a","no matter how bad it felt , the fire you know , or a",m03-020-02
"Cion muching , or arrows where it hurts most . Or","lion munching , or arrows where it hurts most . Or",m03-020-03
can you . Look over there . ' He pointed to the,can you . Look over there . ' He pointed to the,m03-020-04
shodous beyond the riter . ' something moved . ',shadows beyond the river . ' Something moved . ',m03-020-05
" Batlle -Foot , my lord . ' Jattle Foat ? ' His lordship","' Bottle-Foot , my lord . ' ' Bottle-Foot ? ' His lordship",m03-033-00
may have thought I had become unbalaneed,may have thought I had become unbalanced,m03-033-01
through fear . ' A character Mr Glberto mentioned,through fear . ' A character Mr Gilberto mentioned,m03-033-02
"to ot other day , my lard . A being of whom","to other day , my lord . A being of whom",m03-033-03
thet farest Indians are said to be martally,the forest Indians are said to be mortally,m03-033-04
"afraid , with a hoof shaped like the heel","afraid , with a hoof shaped like the heel",m03-033-05
of a battle . If your lavelship will excuse we,of a bottle . If your lordship will excuse me,m03-033-06
"Small , repulsive creatures they merre ,","Small , repulsive creatures they were ,",m03-062-00
"with black , metted hair and striking","with black , matted hair and a striking",m03-062-01
resemblance to the slrunk heads we had,resemblance to the shrunk heads we had,m03-062-02
gazed at reeently ; and I heve no,gazed at recently ; and I have no,m03-062-03
hesitation in saying that they would have,hesitation in saying that they would have,m03-062-04
made on end of us but for an infervention,made an end of us but for an intervention,m03-062-05
"so unexpected , so unusual , that auge the","so unexpected , so unusual , that only the",m03-062-06
necessity of raunding my norretive,necessity of rounding my narrative,m03-062-07
campels me to mention it .,compels me to mention it .,m03-062-08
I had a distinct impression that the,I had a distinct impression that the,m03-095-00
huut had recently heen cleaned and,hut had recently been cleaned and,m03-095-01
prepared for visiturs . Mrs Caine said,prepared for visitors . Mrs Caine said,m03-095-02
We werre to go no further mless anel,we were to go no further unless and,m03-095-03
"until we were sent for , confirnning","until we were sent for , confirming",m03-095-04
another impession tha t became more,another impression that became more,m03-095-05
"and more definite , namly , that","and more definite , namely , that",m03-095-06
she was in touch with an invi-,she was in touch with an invi-,m03-095-07
gible source of artharity .,sible source of authority .,m03-095-08
"telly and of course Mrs septimus , for surely","Sally and of course Mrs Septimus , for surely",m03-110-00
Mr Septimus stood in the same case as,Mr Septimus stood in the same case as,m03-110-01
myself ? But was it so ? I allowed myself,myself ? But was it so ? I allowed myself,m03-110-02
"to entertain for an nstant the idea , the","to entertain for an instant the idea , the",m03-110-03
"# strange , the unwelcome , the dmost","strange , the unwelcome , the almost",m03-110-04
"inconveniancalle idea , hat Ariadne's arrival","inconceivable idea , that Ariadne's arrival",m03-110-05
would be insppostune ; and with the idea came,would be inopportune ; and with the idea came,m03-110-06
"a somewhat vulgar impuls ,  which I refused ,","a somewhat vulgar impulse , which I refused ,",m03-110-07
"to watch Mr septious more closely , Mrs","to watch Mr Septimus more closely , Mrs",m03-110-08
Caine too and Mr Gilberts who would . . .,Caine too and Mr Gilberto who would . . .,m03-110-09
But all three were to the casual,But all three were to the casual,m03-114-00
observation I permitted myself urruffled ;,observation I permitted myself unruffled ;,m03-114-01
Mr Septionus reserved and certainly very,Mr Septimus reserved and certainly very,m03-114-02
"thoughtful , but that was his habit . Indeed","thoughtful , but that was his habit . Indeed",m03-114-03
ue were all invaded by a most tranguil,we were all invaded by a most tranquil,m03-114-04
"mood . Even the Iindian sevants relased , knewing ,","mood . Even the Indian servants relaxed , knowing ,",m03-114-05
"so Mr Galberto told us , that the wild and","so Mr Gilberto told us , that the wild and",m03-114-06
savage tribes never approachd this region : at,savage tribes never approached this region : at,m03-114-07
"any rate hey remained with ua , perhaps","any rate they remained with us , perhaps",m03-114-08
"for such proteation as our presence , or Mrs","for such protection as our presence , or Mrs",m03-114-09
But after what Mrs Canhe had craid it wes never,But after what Mrs Caine had said it was never,m03-118-00
far from our minds that at any mament we were,far from our minds that at any moment we were,m03-118-01
to receive a summans . I cauld see that Mr Septitns,to receive a summons . I could see that Mr Septimus,m03-118-02
"was impatient far it . This affernoon , than , we chimbed","was impatient for it . This afternoon , then , we climbed",m03-118-03
"a promantory , a mans of clean roo crawed with","a promontory , a mass of clean rock crowned with",m03-118-04
"trees and bushes , that stood weee out over the lade -","trees and bushes , that stood well out over the lake .",m03-118-05
NOONE has iv r satisfactovily axplanid how a,NO ONE has ever satisfactorily explained how a,m04-000-00
single-deokn Walsh bus could hare got its.lf,single-decker Welsh bus could have got,m04-000-01
into oubst . Shooting up ovr the pass a but,itself into orbit . Shooting up over the pass a bit,m04-000-02
"too carrfure , and becoming alrbouns ?","too carefree , and becoming airborne ?",m04-000-03
Carght by a sudden gust of wind ? A,Caught by a sudden gust of wind ? A,m04-000-04
combination of the to ? No one serms,combination of the two ? No one seems,m04-000-05
to know . But the fact remains that git,to know . But the fact remains that get,m04-000-06
its ilf into or but it did .,itself into orbit it did .,m04-000-07
"AAnd a fins old fuss thive was about it , toos","And a fine old fuss there was about it , too .",m04-007-00
"Hive our the knouis facts . On 10th Joly ,","Here are the known facts . On 10th July ,",m04-007-01
"the bus , the 220 from Dinas to langrul ,","the bus , the 2.20 from Dinas to Llangrwl ,",m04-007-02
